stt,age,inc,eth,sex,edu,kid,mar,pop2008
AL,18-29,$0-20k,White,Male,< HS,Kids,Married,2026
AL,18-29,$0-20k,White,Male,< HS,Kids,Single,1763
AL,18-29,$0-20k,White,Male,< HS,No Kids,Married,399
AL,18-29,$0-20k,White,Male,< HS,No Kids,Single,4844
AL,18-29,$0-20k,White,Male,HS,Kids,Married,1486
AL,18-29,$0-20k,White,Male,HS,Kids,Single,959
AL,18-29,$0-20k,White,Male,HS,No Kids,Married,569
AL,18-29,$0-20k,White,Male,HS,No Kids,Single,5266
AL,18-29,$0-20k,White,Male,Some Coll,Kids,Married,744
AL,18-29,$0-20k,White,Male,Some Coll,Kids,Single,390
AL,18-29,$0-20k,White,Male,Some Coll,No Kids,Married,779
AL,18-29,$0-20k,White,Male,Some Coll,No Kids,Single,11119
AL,18-29,$0-20k,White,Male,Coll,Kids,Married,307
AL,18-29,$0-20k,White,Male,Coll,Kids,Single,0
AL,18-29,$0-20k,White,Male,Coll,No Kids,Married,155
AL,18-29,$0-20k,White,Male,Coll,No Kids,Single,2336
AL,18-29,$0-20k,White,Male,Post-Grad,Kids,Married,0
AL,18-29,$0-20k,White,Male,Post-Grad,Kids,Single,0
AL,18-29,$0-20k,White,Male,Post-Grad,No Kids,Married,55
AL,18-29,$0-20k,White,Male,Post-Grad,No Kids,Single,376
AL,18-29,$0-20k,White,Female,< HS,Kids,Married,2675
AL,18-29,$0-20k,White,Female,< HS,Kids,Single,2994
AL,18-29,$0-20k,White,Female,< HS,No Kids,Married,431
AL,18-29,$0-20k,White,Female,< HS,No Kids,Single,3207
AL,18-29,$0-20k,White,Female,HS,Kids,Married,2576
AL,18-29,$0-20k,White,Female,HS,Kids,Single,3572
AL,18-29,$0-20k,White,Female,HS,No Kids,Married,383
AL,18-29,$0-20k,White,Female,HS,No Kids,Single,4216
AL,18-29,$0-20k,White,Female,Some Coll,Kids,Married,1729
AL,18-29,$0-20k,White,Female,Some Coll,Kids,Single,4140
AL,18-29,$0-20k,White,Female,Some Coll,No Kids,Married,1013
AL,18-29,$0-20k,White,Female,Some Coll,No Kids,Single,9850
AL,18-29,$0-20k,White,Female,Coll,Kids,Married,133
AL,18-29,$0-20k,White,Female,Coll,Kids,Single,251
AL,18-29,$0-20k,White,Female,Coll,No Kids,Married,318
AL,18-29,$0-20k,White,Female,Coll,No Kids,Single,2585
AL,18-29,$0-20k,White,Female,Post-Grad,Kids,Married,0
AL,18-29,$0-20k,White,Female,Post-Grad,Kids,Single,0
AL,18-29,$0-20k,White,Female,Post-Grad,No Kids,Married,83
AL,18-29,$0-20k,White,Female,Post-Grad,No Kids,Single,468
AL,18-29,$0-20k,Black,Male,< HS,Kids,Married,569
AL,18-29,$0-20k,Black,Male,< HS,Kids,Single,3227
AL,18-29,$0-20k,Black,Male,< HS,No Kids,Married,151
AL,18-29,$0-20k,Black,Male,< HS,No Kids,Single,5951
AL,18-29,$0-20k,Black,Male,HS,Kids,Married,337
AL,18-29,$0-20k,Black,Male,HS,Kids,Single,2869
AL,18-29,$0-20k,Black,Male,HS,No Kids,Married,128
AL,18-29,$0-20k,Black,Male,HS,No Kids,Single,5183
AL,18-29,$0-20k,Black,Male,Some Coll,Kids,Married,321
AL,18-29,$0-20k,Black,Male,Some Coll,Kids,Single,240
AL,18-29,$0-20k,Black,Male,Some Coll,No Kids,Married,469
AL,18-29,$0-20k,Black,Male,Some Coll,No Kids,Single,4606
AL,18-29,$0-20k,Black,Male,Coll,Kids,Married,78
